央视频道,#genre#
CCTV10科教,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=51a5e3375ff0e6a42ae248a7400fb5a7&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20260813183051&Channel_ID=0116_2600034600-99000-201600010036932&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=125.211.195.198&SecurityKey=20260813183051&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=665a673e4173d75fce95bb60491f5a8f&sv=10004&ct=android
CCTV11戏曲,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=51a5e3375ff0e6a42ae248a7400fb5a7&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20260813183020&Channel_ID=0116_2600034600-99000-201600010056594&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=125.211.195.197&SecurityKey=20260813183020&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f4569ac3dbcedf797c1c32b85f1d82e1&sv=10004&ct=android
CCTV12社会与法,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=51a5e3375ff0e6a42ae248a7400fb5a7&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20260813182946&Channel_ID=0116_2600034600-99000-201600010003951&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=125.211.195.196&SecurityKey=20260813182946&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=586d05a563ce85e9b9b86c9b17e7c212&sv=10004&ct=android
CCTV13新闻,http://hlsztemgsplive.miguvideo.com:8080/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=51a5e3375ff0e6a42ae248a7400fb5a7&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20260813182801&Channel_ID=0116_2600034600-99000-201600010058877&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=125.211.195.192&SecurityKey=20260813182801&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=7638ed1810a885c07325762a5a65b312&sv=10004&ct=android
CCTV14少儿,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=51a5e3375ff0e6a42ae248a7400fb5a7&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20260813182912&Channel_ID=0116_2600034600-99000-201600010024617&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=125.211.195.195&SecurityKey=20260813182912&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6ca48a6c17fbee672a7f2047e28e6ef0&sv=10004&ct=android
CCTV15音乐,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=51a5e3375ff0e6a42ae248a7400fb5a7&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20260813182838&Channel_ID=0116_2600034600-99000-201600010080548&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=125.211.195.194&SecurityKey=20260813182838&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5f49837b1aae6275132dfba06415797b&sv=10004&ct=android
CCTV17农业农村,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20260813182701&Channel_ID=0116_2600034600-99000-201600010045140&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=125.211.195.190&SecurityKey=20260813182701&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6c605828269dcffbeb0b24e54764890c&sv=10004&ct=android
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
卫视频道,#genre#
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视,https://hlsbkmgsplive.miguvideo.com/wd-hunanhd-2500/01.m3u8?&HlsSubType=&encrypt=
湖南卫视,https://hlsbkmgsplive.miguvideo.com/wd-hunanhd-1200/01.m3u8?&HlsSubType=&encrypt=
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
江苏卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/jswshd265/55/20200407/01.m3u8?&HlsSubType=&encrypt=
东方卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r4/dfl/dongfangwshd/1200/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=600697&netType=0&sid=5910022185&pid=2028597139&timestamp=20260813182525&Channel_ID=0116_2600034600-99000-201600010049657&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=125.211.195.187&SecurityKey=20260813182525&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=667c0c0a69654cd6b922de8fbb0d03d9&sv=10004&ct=android
广东卫视,http://hlsztemgsplive.miguvideo.com:8080/ws_w/2018/gdws/gdws711/1000/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=699054&netType=0&sid=2202428795&pid=2028597139&timestamp=20260813182559&Channel_ID=0116_2600034600-99000-201600010013925&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=125.211.195.188&SecurityKey=20260813182559&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=1ee20547d3ebc932ac3ad2d5852561f8&sv=10004&ct=android
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
北京卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/bjws/51/20251127/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=600697&netType=0&sid=5910022306&pid=2028597139&timestamp=20260813182454&Channel_ID=0116_2600034600-99000-201600010034549&ProgramID=630287636&ParentNodeID=-99&assertID=5910022306&client_ip=125.211.195.186&SecurityKey=20260813182454&promotionId=&mvid=5101042960&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5ab04aca162c5d2471fe0d3bf7cf876e&sv=10004&ct=android
湖北卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/hubeiwshd/2000/index.m3u8?msisdn=752321d51732d96674733c7c18c776b3&mdspid=&spid=600633&netType=0&sid=5910022163&pid=2028597139&timestamp=20260813182348&Channel_ID=0116_2600034600-99000-201600010079272&ProgramID=947472496&ParentNodeID=-99&assertID=5910022163&client_ip=125.211.195.184&SecurityKey=20260813182348&promotionId=&mvid=5900004355&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=965bcea256e582326bb8dbc58845a14c&sv=10004&ct=android
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
山东卫视,https://hlsbkmgsplive.miguvideo.com/wd_r4/yg/shandongwshd/3000/01.m3u8?&HlsSubType=&encrypt=
山东卫视,https://hlsbkmgsplive.miguvideo.com/wd-shandonghd-1200/01.m3u8?&HlsSubType=&encrypt=
